Season,Category,Circuit,Rider,Country,Constructor
2010,Moto2,Misano World Circuit Marco Simoncelli,Toni Elias,SPAIN,Moriwaki
2010,125cc,Indianapolis Motor Speedway,Nicolas Terol,SPAIN,Aprilia
2010,MotoGP,Indianapolis Motor Speedway,Dani Pedrosa,SPAIN,Honda
2010,Moto2,Indianapolis Motor Speedway,Toni Elias,SPAIN,Moriwaki
2010,125cc,Automotodrom Brno,Nicolas Terol,SPAIN,Aprilia
2010,MotoGP,Automotodrom Brno,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Automotodrom Brno,Toni Elias,SPAIN,Moriwaki
2010,MotoGP,Mazda Raceway,Jorge Lorenzo,SPAIN,Yamaha
2010,125cc,Sachsenring,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Sachsenring,Dani Pedrosa,SPAIN,Honda
2010,Moto2,Sachsenring,Toni Elias,SPAIN,Moriwaki
2010,125cc,Circuit de Barcelona-Catalunya,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Circuit de Barcelona-Catalunya,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Circuit de Barcelona-Catalunya,Yuki Takahashi,JAPAN,Tech 3
2010,125cc,TT Circuit Assen,Marc Marquez,SPAIN,Derbi
2010,MotoGP,TT Circuit Assen,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,TT Circuit Assen,Andrea Iannone,ITALY,Speed Up
2010,125cc,Silverstone Circuit,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Silverstone Circuit,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Silverstone Circuit,Jules Cluzel,FRANCE,Suter
2010,125cc,Autodromo Internazionale del Mugello,Marc Marquez,SPAIN,Derbi
2010,MotoGP,Autodromo Internazionale del Mugello,Dani Pedrosa,SPAIN,Honda
2010,Moto2,Autodromo Internazionale del Mugello,Andrea Iannone,ITALY,Speed Up
2010,125cc,Le Mans,Pol Espargaro,SPAIN,Derbi
2010,MotoGP,Le Mans,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Le Mans,Toni Elias,SPAIN,Moriwaki
2010,125cc,Circuito de Jerez - Angel Nieto,Pol Espargaro,SPAIN,Derbi
2010,MotoGP,Circuito de Jerez - Angel Nieto,Jorge Lorenzo,SPAIN,Yamaha
2010,Moto2,Circuito de Jerez - Angel Nieto,Toni Elias,SPAIN,Moriwaki
2010,125cc,Losail International Circuit,Nicolas Terol,SPAIN,Aprilia
2010,MotoGP,Losail International Circuit,Valentino Rossi,ITALY,Yamaha
2010,Moto2,Losail International Circuit,Shoya Tomizawa,JAPAN,Suter
2009,125cc,Circuit Ricardo Tormo,Julian Simon,SPAIN,Aprilia
2009,250cc,Circuit Ricardo Tormo,Hector Barbera,SPAIN,Aprilia
2009,MotoGP,Circuit Ricardo Tormo,Dani Pedrosa,SPAIN,Honda
2009,125cc,Sepang International Circuit,Julian Simon,SPAIN,Aprilia
2009,250cc,Sepang International Circuit,Hiroshi Aoyama,JAPAN,Honda
2009,MotoGP,Sepang International Circuit,Casey Stoner,AUSTRALIA,Ducati
2009,125cc,Phillip Island,Julian Simon,SPAIN,Aprilia
2009,250cc,Phillip Island,Marco Simoncelli,ITALY,Gilera
2009,MotoGP,Phillip Island,Casey Stoner,AUSTRALIA,Ducati
2009,125cc,Estoril Circuit,Pol Espargaro,SPAIN,Derbi
2009,250cc,Estoril Circuit,Marco Simoncelli,ITALY,Gilera
2009,MotoGP,Estoril Circuit,Jorge Lorenzo,SPAIN,Yamaha
2009,125cc,Misano World Circuit Marco Simoncelli,Julian Simon,SPAIN,Aprilia
2009,250cc,Misano World Circuit Marco Simoncelli,Hector Barbera,SPAIN,Aprilia
2009,MotoGP,Misano World Circuit Marco Simoncelli,Valentino Rossi,ITALY,Yamaha
2009,125cc,Indianapolis Motor Speedway,Pol Espargaro,SPAIN,Derbi
2009,250cc,Indianapolis Motor Speedway,Marco Simoncelli,ITALY,Gilera
2009,MotoGP,Indianapolis Motor Speedway,Jorge Lorenzo,SPAIN,Yamaha
2009,125cc,Automotodrom Brno,Nicolas Terol,SPAIN,Aprilia
2009,250cc,Automotodrom Brno,Marco Simoncelli,ITALY,Gilera
2009,MotoGP,Automotodrom Brno,Valentino Rossi,ITALY,Yamaha
2009,125cc,Donington Park,Julian Simon,SPAIN,Aprilia
2009,250cc,Donington Park,Hiroshi Aoyama,JAPAN,Honda
2009,MotoGP,Donington Park,Andrea Dovizioso,ITALY,Honda
2009,125cc,Sachsenring,Julian Simon,SPAIN,Aprilia
2009,250cc,Sachsenring,Marco Simoncelli,ITALY,Gilera
2009,MotoGP,Sachsenring,Valentino Rossi,ITALY,Yamaha
2009,MotoGP,Mazda Raceway,Dani Pedrosa,SPAIN,Honda
2009,125cc,TT Circuit Assen,Sergio Gadea,SPAIN,Aprilia
2009,250cc,TT Circuit Assen,Hiroshi Aoyama,JAPAN,Honda
2009,MotoGP,TT Circuit Assen,Valentino Rossi,ITALY,Yamaha
2009,125cc,Circuit de Barcelona-Catalunya,Andrea Iannone,ITALY,Aprilia
2009,250cc,Circuit de Barcelona-Catalunya,Alvaro Bautista,SPAIN,Aprilia
2009,MotoGP,Circuit de Barcelona-Catalunya,Valentino Rossi,ITALY,Yamaha
2009,125cc,Autodromo Internazionale del Mugello,Bradley Smith,GREAT BRITAIN,Aprilia
2009,250cc,Autodromo Internazionale del Mugello,Mattia Pasini,ITALY,Aprilia
2009,MotoGP,Autodromo Internazionale del Mugello,Casey Stoner,AUSTRALIA,Ducati
2009,125cc,Le Mans,Julian Simon,SPAIN,Aprilia
2009,250cc,Le Mans,Marco Simoncelli,ITALY,Gilera
2009,MotoGP,Le Mans,Jorge Lorenzo,SPAIN,Yamaha
2009,125cc,Circuito de Jerez - Angel Nieto,Bradley Smith,GREAT BRITAIN,Aprilia
2009,250cc,Circuito de Jerez - Angel Nieto,Hiroshi Aoyama,JAPAN,Honda
2009,MotoGP,Circuito de Jerez - Angel Nieto,Valentino Rossi,ITALY,Yamaha
2009,125cc,Twin Ring Motegi,Andrea Iannone,ITALY,Aprilia
2009,250cc,Twin Ring Motegi,Alvaro Bautista,SPAIN,Aprilia
2009,MotoGP,Twin Ring Motegi,Jorge Lorenzo,SPAIN,Yamaha
2009,MotoGP,Losail International Circuit,Casey Stoner,AUSTRALIA,Ducati
2009,125cc,Losail International Circuit,Andrea Iannone,ITALY,Aprilia
2009,250cc,Losail International Circuit,Hector Barbera,SPAIN,Aprilia
2008,125cc,Circuit Ricardo Tormo,Simone Corsi,ITALY,Aprilia
2008,250cc,Circuit Ricardo Tormo,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Circuit Ricardo Tormo,Casey Stoner,AUSTRALIA,Ducati
2008,125cc,Sepang International Circuit,Gabor Talmacsi,HUNGARY,Aprilia
2008,250cc,Sepang International Circuit,Alvaro Bautista,SPAIN,Aprilia
2008,MotoGP,Sepang International Circuit,Valentino Rossi,ITALY,Yamaha
2008,125cc,Phillip Island,Mike Di Meglio,FRANCE,Derbi
2008,250cc,Phillip Island,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Phillip Island,Casey Stoner,AUSTRALIA,Ducati
2008,125cc,Twin Ring Motegi,Stefan Bradl,GERMANY,Aprilia
2008,250cc,Twin Ring Motegi,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Twin Ring Motegi,Valentino Rossi,ITALY,Yamaha
2008,125cc,Indianapolis Motor Speedway,Nicolas Terol,SPAIN,Aprilia
2008,MotoGP,Indianapolis Motor Speedway,Valentino Rossi,ITALY,Yamaha
2008,125cc,Misano World Circuit Marco Simoncelli,Gabor Talmacsi,HUNGARY,Aprilia
2008,250cc,Misano World Circuit Marco Simoncelli,Alvaro Bautista,SPAIN,Aprilia
2008,MotoGP,Misano World Circuit Marco Simoncelli,Valentino Rossi,ITALY,Yamaha
2008,125cc,Automotodrom Brno,Stefan Bradl,GERMANY,Aprilia
2008,250cc,Automotodrom Brno,Alex Debon,SPAIN,Aprilia
2008,MotoGP,Automotodrom Brno,Valentino Rossi,ITALY,Yamaha
2008,MotoGP,Mazda Raceway,Valentino Rossi,ITALY,Yamaha
2008,125cc,Sachsenring,Mike Di Meglio,FRANCE,Derbi
2008,250cc,Sachsenring,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Sachsenring,Casey Stoner,AUSTRALIA,Ducati
2008,125cc,TT Circuit Assen,Gabor Talmacsi,HUNGARY,Aprilia
2008,250cc,TT Circuit Assen,Alvaro Bautista,SPAIN,Aprilia
2008,MotoGP,TT Circuit Assen,Casey Stoner,AUSTRALIA,Ducati
2008,125cc,Donington Park,Scott Redding,GREAT BRITAIN,Aprilia
2008,250cc,Donington Park,Mika Kallio,FINLAND,KTM
2008,MotoGP,Donington Park,Casey Stoner,AUSTRALIA,Ducati
2008,125cc,Circuit de Barcelona-Catalunya,Mike Di Meglio,FRANCE,Derbi
2008,250cc,Circuit de Barcelona-Catalunya,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Circuit de Barcelona-Catalunya,Dani Pedrosa,SPAIN,Honda
2008,125cc,Autodromo Internazionale del Mugello,Simone Corsi,ITALY,Aprilia
2008,250cc,Autodromo Internazionale del Mugello,Marco Simoncelli,ITALY,Gilera
2008,MotoGP,Autodromo Internazionale del Mugello,Valentino Rossi,ITALY,Yamaha
2008,125cc,Le Mans,Mike Di Meglio,FRANCE,Derbi
2008,250cc,Le Mans,Alex Debon,SPAIN,Aprilia
2008,MotoGP,Le Mans,Valentino Rossi,ITALY,Yamaha
2008,125cc,Shanghai Circuit,Andrea Iannone,ITALY,Aprilia
2008,250cc,Shanghai Circuit,Mika Kallio,FINLAND,KTM
2008,MotoGP,Shanghai Circuit,Valentino Rossi,ITALY,Yamaha
2008,125cc,Estoril Circuit,Simone Corsi,ITALY,Aprilia
2008,250cc,Estoril Circuit,Alvaro Bautista,SPAIN,Aprilia
